tithi_date;tithi_day;tithi_time;
05.09.2023;22;13:16;1
06.09.2023;23;13:08;1
07.09.2023;24;13:44;1
08.09.2023;25;15:00;1
09.09.2023;26;16:48;1
10.09.2023;27;18:58;1
11.09.2023;28;21:22;1
12.09.2023;29;23:51;1
13.09.2023;29;[весь день];1
14.09.2023;30;02:19;1
15.09.2023;1;04:39;1
16.09.2023;2;06:47;1
17.09.2023;3;08:39;1
18.09.2023;4;10:09;1
19.09.2023;5;11:13;1
20.09.2023;6;11:46;1
21.09.2023;7;11:44;1
22.09.2023;8;11:05;1
23.09.2023;9;09:48;1
24.09.2023;10;05:26;1
25.09.2023;11;08:53;1
26.09.2023;12;02:31;0
26.09.2023;13;23:15;1
27.09.2023;14;19:49;1
28.09.2023;15;16:19;1
29.09.2023;16;12:57;1
30.09.2023;17;09:51;1
01.10.2023;18;07:12;1
02.10.2023;19;05:06;1
03.10.2023;20;03:42;1
04.10.2023;21;03:03;1
05.10.2023;22;03:11;1
06.10.2023;23;04:05;1
07.10.2023;24;05:38;1
08.10.2023;25;07:43;1
09.10.2023;26;10:07;1
10.10.2023;27;12:38;1
11.10.2023;28;15:07;1
12.10.2023;29;17:24;1
13.10.2023;30;19:21;1
14.10.2023;1;20:55;1
15.10.2023;2;22:02;1
16.10.2023;3;22:43;1
17.10.2023;4;22:56;1
18.10.2023;5;22:42;1
19.10.2023;6;22:02;1
20.10.2023;7;20:55;1
21.10.2023;8;19:23;1
22.10.2023;9;17:29;1
23.10.2023;10;15:15;1
24.10.2023;11;12:44;1
25.10.2023;12;10:02;1
26.10.2023;13;07:14;1
27.10.2023;14;04:27;1
28.10.2023;15;01:47;0
28.10.2023;16;23:23;1
29.10.2023;17;21:23;1
30.10.2023;18;19:53;1
31.10.2023;19;19:00;1
01.11.2023;20;18:49;1
02.11.2023;21;19:22;1
03.11.2023;22;20:37;1
04.11.2023;23;22:29;1
05.11.2023;23;[весь день];1
06.11.2023;24;00:48;1
07.11.2023;25;03:21;1
08.11.2023;26;05:53;1
09.11.2023;27;08:12;1
10.11.2023;28;10:05;1
11.11.2023;29;11:28;1
12.11.2023;30;12:15;1
13.11.2023;1;12:27;1
14.11.2023;2;12:06;1
15.11.2023;3;11:17;1
16.11.2023;4;10:05;1
17.11.2023;5;08:33;1
18.11.2023;6;06:48;1
19.11.2023;7;04:53;1
20.11.2023;8;02:52;1
21.11.2023;9;00:46;0
21.11.2023;10;22:40;1
22.11.2023;11;20:34;1
23.11.2023;12;18:32;1
24.11.2023;13;16:37;1
25.11.2023;14;14:52;1
26.11.2023;15;13:23;1
27.11.2023;16;12:16;1
28.11.2023;17;11:35;1
29.11.2023;18;11:27;1
30.11.2023;19;11:55;1
01.12.2023;20;13:01;1
02.12.2023;21;14:44;1
03.12.2023;22;16:57;1
04.12.2023;23;19:29;1
05.12.2023;24;22:07;1
06.12.2023;24;[весь день];1
07.12.2023;25;00:34;1
08.12.2023;26;02:36;1
09.12.2023;27;04:01;1
10.12.2023;28;04:43;1
11.12.2023;29;04:40;1
12.12.2023;30;03:54;1
13.12.2023;1;02:31;1
14.12.2023;2;00:39;0
14.12.2023;3;22:26;1
15.12.2023;4;20:00;1
16.12.2023;5;17:30;1
17.12.2023;6;15:03;1
18.12.2023;7;12:44;1
19.12.2023;8;10:37;1
20.12.2023;9;08:44;1
21.12.2023;10;07:07;1
22.12.2023;11;05:46;1
23.12.2023;12;04:42;1
24.12.2023;13;03:54;1
25.12.2023;14;03:25;1
26.12.2023;15;03:17;1
27.12.2023;16;03:33;1
28.12.2023;17;04:16;1
29.12.2023;18;05:30;1
30.12.2023;19;07:14;1
31.12.2023;20;09:25;1
01.01.2024;21;11:58;
